"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Louisiana"	"22"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	27	11735	230.1
	"Louisiana"	"22"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Accidental suffocation and strangulation in bed"	"W75"	13	11735	110.8 (Unreliable)
	"Louisiana"	"22"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	10	17961	55.7 (Unreliable)
	"Louisiana"	"22"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	30	12070	248.6
	"Louisiana"	"22"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Sudden infant death syndrome - SIDS"	"R95"	13	12070	107.7 (Unreliable)
	"Louisiana"	"22"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental suffocation and strangulation in bed"	"W75"	23	12070	190.6
	"Louisiana"	"22"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	18	18800	95.7 (Unreliable)
	"Louisiana"	"22"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Accidental suffocation and strangulation in bed"	"W75"	13	18800	69.1 (Unreliable)
	"Louisiana"	"22"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	49	60363	81.2
	"Louisiana"	"22"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	14	89734	15.6 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	65233	15.3 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	12	65233	18.4 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	16	63867	25.1 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	87	63867	136.2
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	18	96689	18.6 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	96689	13.4 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	96689	22.8
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	18	96689	18.6 (Unreliable)
	"Louisiana"	"22"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	17	96689	17.6 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	121305	8.2 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	121305	12.4 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	208820	6.7 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	38	208820	18.2
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	19	208820	9.1 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	25	113555	22.0
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	113555	8.8 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	21	113555	18.5
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	13	113555	11.4 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	123	113555	108.3
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	11	215148	5.1 (Unreliable)
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	33	215148	15.3
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	41	215148	19.1
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	62	215148	28.8
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	26	215148	12.1
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	215148	17.7
	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Assault by other and unspecified firearm discharge"	"X95"	16	215148	7.4 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	11	98619	11.2 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	25	180804	13.8
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	180804	5.5 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	180804	8.8 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	48	180804	26.5
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	15	180804	8.3 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	17	86804	19.6 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Acute myocardial infarction, unspecified"	"I21.9"	17	86804	19.6 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	86804	18.4 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	86804	12.7 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	86804	26.5
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	86804	27.6
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	75	86804	86.4
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	10	187889	5.3 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	15	187889	8.0 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	23	187889	12.2
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	187889	14.4
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	62	187889	33.0
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	17	187889	9.0 (Unreliable)
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	37	187889	19.7
	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Assault by other and unspecified firearm discharge"	"X95"	17	187889	9.0 (Unreliable)
