"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Vermont"	"50"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	34786	71.9
	"Vermont"	"50"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	32790	54.9 (Unreliable)
	"Vermont"	"50"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	42700	25.8 (Unreliable)
	"Vermont"	"50"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	19	40792	46.6 (Unreliable)
	"Vermont"	"50"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Alcoholic cirrhosis of liver"	"K70.3"	10	40792	24.5 (Unreliable)
	"Vermont"	"50"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	36	48333	74.5
	"Vermont"	"50"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	15	48333	31.0 (Unreliable)
	"Vermont"	"50"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	17	48333	35.2 (Unreliable)
	"Vermont"	"50"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	19	48333	39.3 (Unreliable)
	"Vermont"	"50"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	45	46333	97.1
