"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Newborn affected by chorioamnionitis"	"P02.7"	10	25380	39.4 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	37	25380	145.8
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Sudden infant death syndrome - SIDS"	"R95"	19	25380	74.9 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Accidental suffocation and strangulation in bed"	"W75"	18	25380	70.9 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Newborn affected by incompetent cervix"	"P01.0"	13	80112	16.2 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Newborn affected by premature rupture of membranes"	"P01.1"	14	80112	17.5 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	31	80112	38.7
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Other preterm infants"	"P07.3"	15	80112	18.7 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Sudden infant death syndrome - SIDS"	"R95"	17	80112	21.2 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Other ill-defined and unspecified causes of mortality"	"R99"	16	80112	20.0 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Accidental suffocation and strangulation in bed"	"W75"	12	80112	15.0 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Newborn affected by premature rupture of membranes"	"P01.1"	12	26415	45.4 (Unreliable)
	"Florida"	"12"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	43	26415	162.8
	"Florida"	"12"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Other preterm infants"	"P07.3"	14	26415	53.0 (Unreliable)
