"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Oklahoma"	"40"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	11	18288	60.1 (Unreliable)
	"Oklahoma"	"40"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Sudden infant death syndrome - SIDS"	"R95"	13	18288	71.1 (Unreliable)
	"Oklahoma"	"40"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	17	19158	88.7 (Unreliable)
	"Oklahoma"	"40"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Sudden infant death syndrome - SIDS"	"R95"	15	19158	78.3 (Unreliable)
	"Oklahoma"	"40"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	15	97432	15.4 (Unreliable)
	"Oklahoma"	"40"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	19	104560	18.2 (Unreliable)
	"Oklahoma"	"40"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by handgun discharge"	"X72"	23	104560	22.0
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	14	204134	6.9 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	16	204134	7.8 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	204134	6.9 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	11	204134	5.4 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by handgun discharge"	"X93"	11	26897	40.9 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	16	26897	59.5 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	10	209737	4.8 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	34	209737	16.2
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	14	209737	6.7 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	209737	11.9
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	27	209737	12.9
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	44	209737	21.0
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by handgun discharge"	"X72"	35	209737	16.7
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	13	209737	6.2 (Unreliable)
	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Assault by other and unspecified firearm discharge"	"X95"	13	209737	6.2 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	21	183326	11.5
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	14	183326	7.6 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	183326	7.1 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Alcoholic cirrhosis of liver"	"K70.3"	13	183326	7.1 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	10	183326	5.5 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	183326	13.1
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	27	183326	14.7
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by handgun discharge"	"X72"	10	183326	5.5 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Alcoholic cirrhosis of liver"	"K70.3"	12	25018	48.0 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	10	20890	47.9 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	21	187757	11.2
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	12	187757	6.4 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	21	187757	11.2
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	12	187757	6.4 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	19	187757	10.1 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	33	187757	17.6
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	28	187757	14.9
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	28	187757	14.9
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	23	187757	12.2
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by handgun discharge"	"X72"	36	187757	19.2
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	187757	5.3 (Unreliable)
	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	"Assault by other and unspecified firearm discharge"	"X95"	16	187757	8.5 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12	191543	6.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	14	191543	7.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	39	191543	20.4
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	42	191543	21.9
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	12	191543	6.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	11	191543	5.7 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	42	191543	21.9
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	14	191543	7.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	48	191543	25.1
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	21	191543	11.0
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrhythmia, unspecified"	"I49.9"	12	191543	6.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	12	191543	6.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	13	191543	6.8 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	22	191543	11.5
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Alcoholic cirrhosis of liver"	"K70.3"	31	191543	16.2
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	191543	5.7 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	18	191543	9.4 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	191543	11.0
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	30	191543	15.7
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	"Intentional self-harm by handgun discharge"	"X72"	14	191543	7.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	15	21760	68.9 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	21760	50.6 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Alcoholic cirrhosis of liver"	"K70.3"	14	21760	64.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	12	21760	55.1 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	21	18474	113.7
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	16	191495	8.4 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Chronic viral hepatitis C"	"B18.2"	13	191495	6.8 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	14	191495	7.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	21	191495	11.0
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	18	191495	9.4 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	65	191495	33.9
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	10	191495	5.2 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	22	191495	11.5
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	66	191495	34.5
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	39	191495	20.4
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	116	191495	60.6
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	29	191495	15.1
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Cardiac arrhythmia, unspecified"	"I49.9"	12	191495	6.3 (Unreliable)
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	20	191495	10.4
	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	21	191495	11.0
